     PID         DATE      TIME      ELAPSED    CPU    MEM       RSS     VSIZE       CMD
   34769   2016-12-11  20:08:35        00:00    0.0    0.0      1120   2433368  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_biglasso_serial.R
   34769   2016-12-11  20:08:36        00:01   97.8    0.6     98588   3370472  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_biglasso_serial.R
   34769   2016-12-11  20:08:37        00:02   40.1    2.0    338540   3370472  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_biglasso_serial.R
   34769   2016-12-11  20:08:38        00:03   32.4    4.0    676180   3372520  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_biglasso_serial.R
   34769   2016-12-11  20:08:39        00:04   48.7    5.3    883180   3374872  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_biglasso_serial.R
   34769   2016-12-11  20:08:40        00:05  100.0    5.3    883972   3374872  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_biglasso_serial.R
   34769   2016-12-11  20:08:41        00:06  100.0    5.3    883972   3374872  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_biglasso_serial.R
   34769   2016-12-11  20:08:42        00:07  100.0    5.3    883972   3374872  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_biglasso_serial.R
   34769   2016-12-11  20:08:43        00:08  100.0    5.3    883972   3374872  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_biglasso_serial.R
   34769   2016-12-11  20:08:44        00:09   99.7    5.3    883972   3374872  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_biglasso_serial.R
   34769   2016-12-11  20:08:45        00:10  100.0    5.3    883972   3374872  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_biglasso_serial.R
   34769   2016-12-11  20:08:46        00:11  100.0    5.3    883972   3374872  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_biglasso_serial.R
   34769   2016-12-11  20:08:47        00:12   99.6    5.3    883972   3374872  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_biglasso_serial.R
   34769   2016-12-11  20:08:48        00:13  100.0    5.3    883972   3374872  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_biglasso_serial.R
   34769   2016-12-11  20:08:49        00:14   99.3    5.3    884892   3375656  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_biglasso_serial.R
   34769   2016-12-11  20:08:50        00:15  100.0    5.4    898076   3389820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_biglasso_serial.R
   34769   2016-12-11  20:08:51        00:17   99.9    5.4    898076   3389820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_biglasso_serial.R
   34769   2016-12-11  20:08:53        00:18  100.0    5.4    898076   3389820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_biglasso_serial.R
   34769   2016-12-11  20:08:54        00:19   98.8    5.4    898076   3389820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_biglasso_serial.R
   34769   2016-12-11  20:08:55        00:20  100.0    5.4    898076   3389820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_biglasso_serial.R
   34769   2016-12-11  20:08:56        00:21  100.0    5.4    898076   3389820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_biglasso_serial.R
   34769   2016-12-11  20:08:57        00:22  100.0    5.4    898076   3389820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_biglasso_serial.R
   34769   2016-12-11  20:08:58        00:23  100.0    5.4    898076   3389820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_biglasso_serial.R
   34769   2016-12-11  20:08:59        00:24  100.0    5.4    898076   3389820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_biglasso_serial.R
   34769   2016-12-11  20:09:00        00:25  100.0    5.4    908000   3414920  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_biglasso_serial.R
