     PID         DATE      TIME      ELAPSED    CPU    MEM       RSS     VSIZE       CMD
   34917   2016-12-11  20:13:51        00:00    0.0    0.0      1128   2434392  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:13:52        00:01   98.1    0.9    158416   3281840  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:13:53        00:02  100.0    1.8    304080   3281840  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:13:54        00:03  100.0    2.7    452528   3281840  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:13:55        00:04  100.0    3.5    595132   3281840  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:13:56        00:05  100.0    4.4    740000   3281840  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:13:57        00:06  100.0    5.1    862708   3350852  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:13:58        00:07  100.0   10.4   1744444   4243860  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:13:59        00:08  100.0   10.4   1747996   4245428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:00        00:09  100.0   10.4   1747996   4245428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:01        00:10  100.0   10.4   1747996   4245428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:02        00:11  100.0   10.4   1747996   4245428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:03        00:12  100.0   10.4   1747996   4245428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:04        00:13  100.0   10.4   1747996   4245428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:05        00:14  100.0   10.4   1747996   4245428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:06        00:15  100.0   10.4   1747996   4245428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:07        00:16  100.0   10.4   1747996   4245428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:08        00:17  100.0   10.4   1747996   4245428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:09        00:18  100.0   10.4   1747996   4245428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:10        00:19  100.0    8.3   1399592   4166004  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:11        00:20  100.0    9.9   1654920   4166004  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:12        00:21  100.0    9.9   1668340   4166004  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:13        00:22  100.0   14.1   2372156   4869916  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:14        00:23  100.0   14.2   2374212   4871484  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:16        00:25  100.0   14.2   2374212   4871484  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:17        00:26  100.0   14.2   2374212   4871484  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:18        00:27  100.0   14.2   2374212   4871484  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:19        00:28  100.0   14.2   2374212   4871484  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:20        00:29  100.0   14.2   2374212   4871484  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:21        00:30  100.0   14.2   2374212   4871484  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:22        00:31  100.0   14.2   2374212   4871484  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:23        00:32  100.0   14.2   2374212   4871484  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:24        00:33  100.0   14.3   2403908   4910548  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:25        00:34  100.0   10.4   1749196   4399596  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:26        00:35   99.0   11.3   1902320   4399596  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:27        00:36  100.0   13.1   2191456   5102724  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:28        00:37  100.0   15.6   2610168   5107820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:29        00:38   99.7   15.6   2610548   5107820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:30        00:39   98.8   15.6   2610548   5107820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:31        00:40  100.0   15.6   2610548   5107820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:32        00:41  100.0   15.6   2610548   5107820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:33        00:42  100.0   15.6   2610548   5107820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:34        00:43  100.0   15.6   2610548   5107820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:35        00:44  100.0   15.6   2610548   5107820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:36        00:45  100.0   15.6   2610548   5107820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:37        00:46  100.0   15.6   2610548   5107820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:38        00:47   99.2   14.3   2394136   5107036  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:39        00:48  100.0   15.6   2609760   5107036  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:40        00:49  100.0   15.6   2609764   5107036  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:41        00:50  100.0   15.6   2608980   5106252  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:42        00:51  100.0   15.6   2610156   5107428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:43        00:52  100.0   15.6   2610156   5107428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:44        00:53  100.0   15.6   2610156   5107428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:45        00:54   98.2   15.6   2610156   5107428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:46        00:55  100.0   15.6   2610156   5107428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:47        00:56  100.0   15.6   2610156   5107428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
