     PID         DATE      TIME      ELAPSED    CPU    MEM       RSS     VSIZE       CMD
   35110   2016-12-11  20:19:43        00:00    0.0    0.0      1120   2433368  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_ncvreg_serial.R
   35110   2016-12-11  20:19:44        00:01   98.4    0.9    156548   3280816  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_ncvreg_serial.R
   35110   2016-12-11  20:19:45        00:02  100.0    1.8    302368   3280816  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_ncvreg_serial.R
   35110   2016-12-11  20:19:46        00:03  100.0    2.7    447752   3280816  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_ncvreg_serial.R
   35110   2016-12-11  20:19:47        00:04  100.0    3.5    589560   3280816  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_ncvreg_serial.R
   35110   2016-12-11  20:19:48        00:05  100.0    4.4    735540   3280816  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_ncvreg_serial.R
   35110   2016-12-11  20:19:49        00:06  100.0    4.9    814700   3291656  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_ncvreg_serial.R
   35110   2016-12-11  20:19:50        00:07  100.0    9.2   1540548   4074476  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_ncvreg_serial.R
   35110   2016-12-11  20:19:51        00:08  100.0   10.0   1682404   4158876  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_ncvreg_serial.R
   35110   2016-12-11  20:19:52        00:09  100.0   10.0   1682404   4158876  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_ncvreg_serial.R
   35110   2016-12-11  20:19:53        00:10  100.0   10.0   1682404   4158876  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_ncvreg_serial.R
   35110   2016-12-11  20:19:54        00:11  100.0   10.0   1682404   4158876  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_ncvreg_serial.R
   35110   2016-12-11  20:19:55        00:12  100.0   10.0   1682404   4158876  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_ncvreg_serial.R
   35110   2016-12-11  20:19:57        00:14  100.0   10.0   1682404   4158876  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_ncvreg_serial.R
   35110   2016-12-11  20:19:58        00:15  100.0   10.0   1682404   4158876  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_ncvreg_serial.R
   35110   2016-12-11  20:19:59        00:16  100.0   10.0   1682404   4158876  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_ncvreg_serial.R
