     PID         DATE      TIME      ELAPSED    CPU    MEM       RSS     VSIZE       CMD
   31474   2016-12-09  16:16:18        00:00    0.0    0.0      1120   2433368  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=biglasso_memory.R
   31474   2016-12-09  16:16:19        00:01  100.0    1.3    218648   3361228  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=biglasso_memory.R
   31474   2016-12-09  16:16:20        00:02  100.0    5.3    886020   3365628  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=biglasso_memory.R
   31474   2016-12-09  16:16:21        00:03  100.0    5.3    886020   3365628  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=biglasso_memory.R
   31474   2016-12-09  16:16:22        00:04  100.0    5.3    886020   3365628  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=biglasso_memory.R
   31474   2016-12-09  16:16:23        00:05  100.0    5.3    886020   3365628  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=biglasso_memory.R
   31474   2016-12-09  16:16:24        00:06  100.0    5.3    886020   3365628  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=biglasso_memory.R
   31474   2016-12-09  16:16:25        00:07  100.0    5.3    886020   3365628  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=biglasso_memory.R
   31474   2016-12-09  16:16:26        00:08  100.0    5.3    886020   3365628  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=biglasso_memory.R
   31474   2016-12-09  16:16:27        00:09  100.0    5.3    886020   3365628  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=biglasso_memory.R
   31474   2016-12-09  16:16:28        00:10  100.0    5.3    886020   3365628  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=biglasso_memory.R
   31474   2016-12-09  16:16:29        00:11    0.0    0.0         0         0       (R)
