     PID         DATE      TIME      ELAPSED    CPU    MEM       RSS     VSIZE       CMD
   31389   2016-12-09  16:11:20        00:00    0.0    0.0      1072   2442584  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=glmnet_memory.R
   31389   2016-12-09  16:11:21        00:01  100.0    1.0    172268   3290032  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=glmnet_memory.R
   31389   2016-12-09  16:11:22        00:02  100.0    2.0    338992   3290032  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=glmnet_memory.R
   31389   2016-12-09  16:11:23        00:03  100.0    3.0    505972   3290032  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=glmnet_memory.R
   31389   2016-12-09  16:11:24        00:04  100.0    4.0    671308   3290032  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=glmnet_memory.R
   31389   2016-12-09  16:11:25        00:05  100.0    4.9    824488   3296180  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=glmnet_memory.R
   31389   2016-12-09  16:11:26        00:06  100.0    8.8   1480964   4134648  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=glmnet_memory.R
   31389   2016-12-09  16:11:27        00:07  100.0   10.4   1747876   4219828  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=glmnet_memory.R
   31389   2016-12-09  16:11:28        00:08  100.0   10.4   1747876   4219828  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=glmnet_memory.R
   31389   2016-12-09  16:11:29        00:09  100.0   10.4   1747876   4219828  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=glmnet_memory.R
   31389   2016-12-09  16:11:30        00:10  100.0   10.4   1747876   4219828  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=glmnet_memory.R
   31389   2016-12-09  16:11:31        00:11  100.0   10.4   1747876   4219828  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=glmnet_memory.R
   31389   2016-12-09  16:11:32        00:12  100.0   10.4   1747876   4219828  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=glmnet_memory.R
   31389   2016-12-09  16:11:33        00:13  100.0   10.4   1747876   4219828  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=glmnet_memory.R
   31389   2016-12-09  16:11:34        00:14  100.0   10.4   1747876   4219828  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=glmnet_memory.R
   31389   2016-12-09  16:11:35        00:15  100.0   10.4   1747876   4219828  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=glmnet_memory.R
   31389   2016-12-09  16:11:36        00:16  100.0   10.4   1747876   4219828  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=glmnet_memory.R
   31389   2016-12-09  16:11:37        00:17    0.0    0.0         0         0       (R)
